"LBDDTCSI.Code.or.Value","LBDDTCSI.Value.Description","LBDDTCSI.Count","LBDDTCSI.Cumulative","LBDDTCSI.Skip.to.Item"
"0.0746 to 3.1311","Range of Values",5146,5146,NA
"0.0497","Fill Value of Limit of Detection",2122,7268,NA
".","Missing",714,7982,NA
