"LBXIGG.Code.or.Value","LBXIGG.Value.Description","LBXIGG.Count","LBXIGG.Cumulative","LBXIGG.Skip.to.Item"
"1","positive",168,168,NA
"2","negative",438,606,NA
"3","indeterminate",1,607,NA
".","Missing",324,931,NA
