"DXXLRA.Code.or.Value","DXXLRA.Value.Description","DXXLRA.Count","DXXLRA.Cumulative","DXXLRA.Skip.to.Item"
"55.96 to 233.02","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
