"MCQ260GD.Code.or.Value","MCQ260GD.Value.Description","MCQ260GD.Count","MCQ260GD.Cumulative","MCQ260GD.Skip.to.Item"
"4","Mother's father",54,54,NA
".","Missing",9591,9645,NA
