"SSXNO3.Code.or.Value","SSXNO3.Value.Description","SSXNO3.Count","SSXNO3.Cumulative","SSXNO3.Skip.to.Item"
"495 to 810000","Range of Values",2637,2637,NA
".","Missing",83,2720,NA
