"DIQ060Q.Code.or.Value","DIQ060Q.Value.Description","DIQ060Q.Count","DIQ060Q.Cumulative","DIQ060Q.Skip.to.Item"
"1 to 64","Range of Values",134,134,NA
"77777","Refused",0,134,NA
"99999","Don't know",1,135,NA
".","Missing",9358,9493,NA
