"DSDCF1LC.Code.or.Value","DSDCF1LC.Value.Description","DSDCF1LC.Count","DSDCF1LC.Cumulative","DSDCF1LC.Skip.to.Item"
"0","At or above the detection limit",5573,5573,NA
"1","Below lower detection limit",1384,6957,NA
".","Missing",2483,9440,NA
