"WTSBA43.Code.or.Value","WTSBA43.Value.Description","WTSBA43.Count","WTSBA43.Cumulative","WTSBA43.Skip.to.Item"
"0 to 364283.52363","Range of Values",946,946,NA
".","Missing",65,1011,NA
