"AUDTYR58.Code.or.Value","AUDTYR58.Value.Description","AUDTYR58.Count","AUDTYR58.Cumulative","AUDTYR58.Skip.to.Item"
"0 to 2.72","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
