"FSDAD.Code.or.Value","FSDAD.Value.Description","FSDAD.Count","FSDAD.Cumulative","FSDAD.Skip.to.Item"
"1","AD full food security: 0",5359,5359,NA
"2","AD marginal food security: 1-2",1369,6728,NA
"3","AD low food security: 3-5",1158,7886,NA
"4","AD very low food security: 6-10",876,8762,NA
".","Missing",492,9254,NA
