"LBXBR9.Code.or.Value","LBXBR9.Value.Description","LBXBR9.Count","LBXBR9.Cumulative","LBXBR9.Skip.to.Item"
"2.2 to 125","Range of Values",1993,1993,NA
".","Missing",344,2337,NA
