"MCQ370b.Code.or.Value","MCQ370b.Value.Description","MCQ370b.Count","MCQ370b.Cumulative","MCQ370b.Skip.to.Item"
"1","Yes",3780,3780,NA
"2","No",2545,6325,NA
"7","Refused",0,6325,NA
"9","Don't know",2,6327,NA
".","Missing",3248,9575,NA
