"BIDICF.Code.or.Value","BIDICF.Value.Description","BIDICF.Count","BIDICF.Cumulative","BIDICF.Skip.to.Item"
"5.33 to 50.02","Range of Values",4159,4159,NA
".","Missing",1170,5329,NA
