"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",7941,7941,NA
"2","Spanish",839,8780,NA
".","Missing",474,9254,NA
