"RHQ554.Code.or.Value","RHQ554.Value.Description","RHQ554.Count","RHQ554.Cumulative","RHQ554.Skip.to.Item"
"1","Yes",218,218,""
"2","No",72,290,"RHQ570"
"7","Refused",0,290,"RHQ570"
"9","Don't know",21,311,"RHQ570"
".","Missing",2975,3286,""
