"WTSAU45.Code.or.Value","WTSAU45.Value.Description","WTSAU45.Count","WTSAU45.Cumulative","WTSAU45.Skip.to.Item"
"0 to 487899.86373","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
