"PAQ724ae.Code.or.Value","PAQ724ae.Value.Description","PAQ724ae.Count","PAQ724ae.Cumulative","PAQ724ae.Skip.to.Item"
"31","TRAMPOLINE",207,207,NA
".","Missing",9048,9255,NA
