"OSQ120b.Code.or.Value","OSQ120b.Value.Description","OSQ120b.Count","OSQ120b.Cumulative","OSQ120b.Skip.to.Item"
"1","Yes",80,80,""
"2","No",124,204,"OSQ060"
"7","Refused",0,204,"OSQ060"
"9","Don't know",0,204,"OSQ060"
".","Missing",2865,3069,""
