"RFXC027.Code.or.Value","RFXC027.Value.Description","RFXC027.Count","RFXC027.Cumulative","RFXC027.Skip.to.Item"
"-8.122 to 5.395","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
