"RFXT040.Code.or.Value","RFXT040.Value.Description","RFXT040.Count","RFXT040.Cumulative","RFXT040.Skip.to.Item"
"336 to 345","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
