"WTSPO32.Code.or.Value","WTSPO32.Value.Description","WTSPO32.Count","WTSPO32.Cumulative","WTSPO32.Skip.to.Item"
"0.0000000 to 776846.2553600","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
