"LBDC2.Code.or.Value","LBDC2.Value.Description","LBDC2.Count","LBDC2.Cumulative","LBDC2.Skip.to.Item"
"1","Positive",3458,3458,NA
"2","Negative",1632,5090,NA
".","Missing",573,5663,NA
