"WTSHM04.Code.or.Value","WTSHM04.Value.Description","WTSHM04.Count","WTSHM04.Cumulative","WTSHM04.Skip.to.Item"
"0.0000000 to 754495.2333500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
