"URXBPF.Code.or.Value","URXBPF.Value.Description","URXBPF.Count","URXBPF.Cumulative","URXBPF.Skip.to.Item"
"0.14 to 241.1","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
