"AUXRR267.Code.or.Value","AUXRR267.Value.Description","AUXRR267.Count","AUXRR267.Cumulative","AUXRR267.Skip.to.Item"
"-19 to 61","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
