"PSQ160.Code.or.Value","PSQ160.Value.Description","PSQ160.Count","PSQ160.Cumulative","PSQ160.Skip.to.Item"
"1","Yes",13,13,""
"2","No",2,15,"PSQ180"
"7","Refused",0,15,"PSQ180"
"9","Don't know",0,15,"PSQ180"
".","Missing",37,52,""
