"RFXT050.Code.or.Value","RFXT050.Value.Description","RFXT050.Count","RFXT050.Cumulative","RFXT050.Skip.to.Item"
"424 to 433","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
