"DBD380.Code.or.Value","DBD380.Value.Description","DBD380.Count","DBD380.Cumulative","DBD380.Skip.to.Item"
"1 to 5","Range of Values",2461,2461,""
"0","None",582,3043,"DBD400"
"7777","Refused",0,3043,"DBD400"
"9999","Don't know",9,3052,"DBD400"
".","Missing",6913,9965,""
