"LBD110LC.Code.or.Value","LBD110LC.Value.Description","LBD110LC.Count","LBD110LC.Cumulative","LBD110LC.Skip.to.Item"
"0","At or above the detection limit",22,22,NA
"1","Below lower detection limit",242,264,NA
".","Missing",0,264,NA
