"OHQ849.Code.or.Value","OHQ849.Value.Description","OHQ849.Count","OHQ849.Cumulative","OHQ849.Skip.to.Item"
"1","Full load",1056,1056,NA
"2","Half load",821,1877,NA
"3","Pea size",818,2695,NA
"4","Smear",128,2823,NA
"7","Refused",0,2823,NA
"9","Don't know",5,2828,NA
".","Missing",6069,8897,NA
