"LEXLABPI.Code.or.Value","LEXLABPI.Value.Description","LEXLABPI.Count","LEXLABPI.Cumulative","LEXLABPI.Skip.to.Item"
"0.33 to 2.16","Range of Values",2346,2346,NA
".","Missing",740,3086,NA
