"AUQ240.Code.or.Value","AUQ240.Value.Description","AUQ240.Count","AUQ240.Cumulative","AUQ240.Skip.to.Item"
"1","Yes",316,316,NA
"2","No",874,1190,NA
"7","Refused",0,1190,NA
"9","Don't know",0,1190,NA
".","Missing",8455,9645,NA
