"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"3.8 to 16.2","Range of Values",6045,6045,NA
".","Missing",356,6401,NA
