"WTSAU28.Code.or.Value","WTSAU28.Value.Description","WTSAU28.Count","WTSAU28.Cumulative","WTSAU28.Skip.to.Item"
"0 to 483633.7031","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
