"LBXLCC.Code.or.Value","LBXLCC.Value.Description","LBXLCC.Count","LBXLCC.Cumulative","LBXLCC.Skip.to.Item"
"0.7 to 158","Range of Values",6392,6392,NA
".","Missing",1043,7435,NA
