"TYXP191.Code.or.Value","TYXP191.Value.Description","TYXP191.Count","TYXP191.Cumulative","TYXP191.Skip.to.Item"
"-296 to 134","Range of Values",539,539,NA
".","Missing",5046,5585,NA
