"OHD28LAM.Code.or.Value","OHD28LAM.Value.Description","OHD28LAM.Count","OHD28LAM.Cumulative","OHD28LAM.Skip.to.Item"
"0 to 10","Range of Values",2307,2307,NA
"99","Calculation cannot be determined",251,2558,NA
".","Missing",4160,6718,NA
