"URXOXY.Code.or.Value","URXOXY.Value.Description","URXOXY.Count","URXOXY.Cumulative","URXOXY.Skip.to.Item"
"0.07 to 39.2","Range of Values",2648,2648,NA
".","Missing",111,2759,NA
