"DEX6HDFH.Code.or.Value","DEX6HDFH.Value.Description","DEX6HDFH.Count","DEX6HDFH.Cumulative","DEX6HDFH.Skip.to.Item"
"1","Present",11,11,NA
".","Missing",2981,2992,NA
