"DR2IMFAT.Code.or.Value","DR2IMFAT.Value.Description","DR2IMFAT.Count","DR2IMFAT.Cumulative","DR2IMFAT.Skip.to.Item"
"0 to 90.225","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
