"BIXS421K.Code.or.Value","BIXS421K.Value.Description","BIXS421K.Count","BIXS421K.Cumulative","BIXS421K.Skip.to.Item"
"53.36 to 833.53","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
