"DXXPT42X.Code.or.Value","DXXPT42X.Value.Description","DXXPT42X.Count","DXXPT42X.Cumulative","DXXPT42X.Skip.to.Item"
"732.2 to 1267.9","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
