"LBXE72.Code.or.Value","LBXE72.Value.Description","LBXE72.Count","LBXE72.Cumulative","LBXE72.Skip.to.Item"
"0.25 to 196","Range of Values",7356,7356,NA
".","Missing",2084,9440,NA
