"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.46 to 589.8","Range of Values",2808,2808,NA
".","Missing",171,2979,NA
