"OSQ090b.Code.or.Value","OSQ090b.Value.Description","OSQ090b.Count","OSQ090b.Cumulative","OSQ090b.Skip.to.Item"
"1","Yes",151,151,"OSQ120b"
"2","No",53,204,""
"7","Refused",0,204,"OSQ120b"
"9","Don't know",0,204,"OSQ120b"
".","Missing",2865,3069,""
