"DXXLRBMC.Code.or.Value","DXXLRBMC.Value.Description","DXXLRBMC.Count","DXXLRBMC.Cumulative","DXXLRBMC.Skip.to.Item"
"24.61 to 162.57","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
