"BIXS806K.Code.or.Value","BIXS806K.Value.Description","BIXS806K.Count","BIXS806K.Cumulative","BIXS806K.Skip.to.Item"
"79.18 to 814.93","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
