"WTSPP01.Code.or.Value","WTSPP01.Value.Description","WTSPP01.Count","WTSPP01.Cumulative","WTSPP01.Skip.to.Item"
"0 to 855755.97206","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
