"DXXTSBMC.Code.or.Value","DXXTSBMC.Value.Description","DXXTSBMC.Count","DXXTSBMC.Cumulative","DXXTSBMC.Skip.to.Item"
"23.28 to 268.31","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
