"RFXC083.Code.or.Value","RFXC083.Value.Description","RFXC083.Count","RFXC083.Cumulative","RFXC083.Skip.to.Item"
"-7.428 to 5.144","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
