"DX2TOPF.Code.or.Value","DX2TOPF.Value.Description","DX2TOPF.Count","DX2TOPF.Cumulative","DX2TOPF.Skip.to.Item"
"12.2 to 52.3","Range of Values",414,414,NA
".","Missing",71,485,NA
