"OPDSSID.Code.or.Value","OPDSSID.Value.Description","OPDSSID.Count","OPDSSID.Cumulative","OPDSSID.Skip.to.Item"
"0","No",2889,2889,NA
"1","Yes",155,3044,NA
".","Missing",819,3863,NA
