"FSD032A.Code.or.Value","FSD032A.Value.Description","FSD032A.Count","FSD032A.Cumulative","FSD032A.Skip.to.Item"
"1","Often true",795,795,NA
"2","Sometimes true",2156,2951,NA
"3","Never true",5810,8761,NA
"7","Refused",20,8781,NA
"9","Don't know",10,8791,NA
".","Missing",463,9254,NA
