"MPQ010.Code.or.Value","MPQ010.Value.Description","MPQ010.Count","MPQ010.Cumulative","MPQ010.Skip.to.Item"
"1","Yes",2349,2349,""
"2","No",2690,5039,"MPQ060"
"7","Refused",0,5039,"MPQ060"
"9","Don't know",1,5040,"MPQ060"
".","Missing",1,5041,""
