"LBDBMNLC.Code.or.Value","LBDBMNLC.Value.Description","LBDBMNLC.Count","LBDBMNLC.Cumulative","LBDBMNLC.Skip.to.Item"
"0","At or above the detection limit",7513,7513,NA
"1","Below lower detection limit",0,7513,NA
".","Missing",853,8366,NA
