"URDTRS.Code.or.Value","URDTRS.Value.Description","URDTRS.Count","URDTRS.Cumulative","URDTRS.Skip.to.Item"
"1.6 to 3790","Range of Values",2517,2517,NA
".","Missing",95,2612,NA
