"PAXLXSD.Code.or.Value","PAXLXSD.Value.Description","PAXLXSD.Count","PAXLXSD.Cumulative","PAXLXSD.Skip.to.Item"
"0 to 1651436.32","Range of Values",69018,69018,NA
".","Missing",0,69018,NA
