"LBDBR8LC.Code.or.Value","LBDBR8LC.Value.Description","LBDBR8LC.Count","LBDBR8LC.Cumulative","LBDBR8LC.Skip.to.Item"
"0","At or above the detection limit",145,145,NA
"1","Below lower detection limit",120,265,NA
".","Missing",0,265,NA
