"SSCLOTLC.Code.or.Value","SSCLOTLC.Value.Description","SSCLOTLC.Count","SSCLOTLC.Cumulative","SSCLOTLC.Skip.to.Item"
"0","At or above the detection limit",180,180,NA
"1","Below lower detection limit",2243,2423,NA
".","Missing",15,2438,NA
