"LBDBR4LC.Code.or.Value","LBDBR4LC.Value.Description","LBDBR4LC.Count","LBDBR4LC.Cumulative","LBDBR4LC.Skip.to.Item"
"0","At or above the detection limit",97,97,NA
"1","Below lower detection limit",168,265,NA
".","Missing",0,265,NA
