"RFXT030.Code.or.Value","RFXT030.Value.Description","RFXT030.Count","RFXT030.Cumulative","RFXT030.Skip.to.Item"
"248 to 256","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
