"AUDTYL78.Code.or.Value","AUDTYL78.Value.Description","AUDTYL78.Count","AUDTYL78.Cumulative","AUDTYL78.Skip.to.Item"
"0 to 1.63","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
