"DX2RABMC.Code.or.Value","DX2RABMC.Value.Description","DX2RABMC.Count","DX2RABMC.Cumulative","DX2RABMC.Skip.to.Item"
"84.39 to 364.45","Range of Values",464,464,NA
".","Missing",21,485,NA
