"RFXT084.Code.or.Value","RFXT084.Value.Description","RFXT084.Count","RFXT084.Cumulative","RFXT084.Skip.to.Item"
"725 to 734","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
